Date,Time,Code,Object,Area,Status,Comment,CO2abs,CO2buf,dCO2ZP,dCO2MP,H2Oabs,H2Obuf,dH2OZP,dH2OMP,Flow,Pamb,Aux1,Aux2,Tcuv,Tleaf,Tamb,Tmin/max,PARtop,PARamb,Inside Fan,rh ,E,VPD,GH2O,A,ci,ca,wa,PARweatherstation,Weight ,"Wetness (LGR S/N: 21432090, SEN S/N: 21367120) - weather station","Temperature (LGR S/N: 21432090, SEN S/N: 21420856) - weather station","Relative Humidity (LGR S/N: 21432090, SEN S/N: 21420856) - weather station","Wind Speed (LGR S/N: 21432090, SEN S/N: 21435605) - weather station",Cumulative seconds
yyyy-mm-dd,hh:mm:ss,string,No,cm2,string,,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,µmol/s,kPa,mV,mV,°C,°C,°C,°C,µmol m-2 s-1,µmol m-2 s-1,steps,%,mmol m-2 s-1,Pa/kPa,mmol m-2 s-1,µmol m-2 s-1,ppm,ppm,ppm,umol m2 s-1,g,%,°C,%,m/s,s
2/2/2023,13:57:48,MP_010,2,8,AFF2FF041FF-------------------,,444.1588,444.2018,-0.08858774,-24.77427,10287.71,10283.49,616.1674,758.0953,1249.74,99.261,1591,1436,4.38,4.58,4.56,3.56,245.8,0.2,3,88.28,0.2240521,-1.911438,-117.2165,38.46935,933.7799,419.78,10425.4,503.7,109.98,100,4.177,99.997,4.03,2403051
2/4/2023,13:14:13,MP_010,2,8,AFF2FF041FF-------------------,,445.6574,445.6762,-0.5065905,-35.86282,10107.91,10091.9,1292.691,1595.2,1249.81,97.591,1743,1552,5.88,6.24,5.85,3.64,1606.5,0.2,3,85.95,0.4775594,-0.6658354,-717.2333,55.0396,530.5618,410.36,10394.4,1853.7,120,12.94,4.933,91.804,4.03,2573236
2/4/2023,16:33:39,MP_010,2,8,AFF2FF041FF-------------------,,449.523,449.3084,-0.4042458,-15.06678,9803.487,9807.994,1236.771,1235.047,1249.7,97.71,1600,1448,4.37,4.35,4.25,3.8,127.9,0.2,3,89.14,-0.0027192,-1.292765,2.103398,22.90594,-16569.98,434.64,9806.3,228.7,115.96,19.41,3.952,96.432,5.54,2585202
2/6/2023,11:21:26,MP_010,2,8,AFF2FF041FF-------------------,,445.9232,445.9446,-0.8198298,-18.10082,8463.956,8448.805,2032.111,2129.095,1249.78,98.664,1628,1472,5.21,5.45,5.03,3.02,1188.9,0.3,3,84.19,0.1528159,0.5782513,264.2724,26.9313,269.3649,428.66,8545.8,1468.7,104.69,20,4.016,81.639,2.52,2739269
2/6/2023,14:41:33,MP_010,2,8,AFF2FF041FF-------------------,,446.4276,446.534,-1.093054,-13.98783,8841.211,8845.115,3523.052,3654.591,1249.74,98.578,1922,1665,5.6,5.46,5.55,4.05,638.5,0.3,3,86.99,0.2073475,0.1552302,1335.742,20.05404,410.1438,433.67,8976.7,1118.7,98.05,4.71,5.504,72.819,1.01,2751276
2/7/2023,14:47:32,MP_010,2,8,AFF2FF041FF-------------------,,447.3159,447.4231,-0.8136762,-17.48768,9487.212,9490.271,1743.437,2317.376,1249.82,98.528,1741,1548,6.28,6.15,5.68,4.18,1394,0.7,3,85.43,0.9057634,-0.4821814,-1878.47,25.65916,452.3983,430.76,10064.2,1618.7,102.72,7.65,4.797,84.897,6.04,2838035
2/8/2023,9:57:35,MP_010,2,8,AFF2FF041FF-------------------,,449.7125,449.8463,-0.7009281,-20.66653,9067.924,9066.838,1684.605,1352.503,1249.82,99.763,1415,1315,4.04,3.81,3.86,3.51,302.8,0.3,3,88.83,-0.5234067,-0.7011675,746.4789,31.41683,364.6844,429.91,8734.7,563.7,97.7,100,2.158,98.129,6.04,2907038
2/8/2023,12:41:27,MP_010,2,8,AFF2FF041FF-------------------,,447.9745,448.0027,-0.6532826,-20.64527,9349.155,9348.546,1820.618,1552.948,1249.75,99.775,1524,1396,4.4,4.23,4.21,3.68,414.2,0.2,3,88.7,-0.4219848,-0.8064441,523.266,31.41191,334.8545,428.02,9080.9,751.2,96.09,100,2.279,98.392,8.05,2916870
2/9/2023,13:27:30,MP_010,2,8,AFF2FF041FF-------------------,,445.9449,446.0396,-0.8954562,-36.27357,10100.34,10097.96,2035.947,2036.929,1249.67,98.482,1620,1466,11.67,11.37,6.8,10.72,1293.1,0.1,3,88.41,0.00155,3.592365,0.4315504,55.26312,-198802.6,410.69,10098.9,1396.2,114.1,9.41,5.99,89.622,3.52,3006033
2/9/2023,17:24:08,MP_010,2,8,AFF2FF041FF-------------------,,445.6182,445.6178,-1.016435,-20.26453,10098.83,10100.84,2388.817,2312.136,1249.77,98.61,1773,1571,6.3,6.42,6.01,5.25,644,0.3,3,93.4,-0.121004,-0.2691878,449.5151,30.12108,321.9822,426.36,10024.2,998.7,105.66,10.59,6.124,86,3.52,3020231
2/13/2023,16:44:02,MP_010,2,8,AFF2FF041FF-------------------,,446.4622,446.5182,-0.8313467,-24.43512,9317.83,9310.578,2182.251,2123.639,1249.73,98.51,1719,1533,4.37,4.6,4.33,4,242.1,0.2,3,88.99,-0.09241726,-0.6481925,142.5769,36.91212,19.27482,422.92,9252,,106.37,,,,,3363425
2/14/2023,11:49:59,MP_010,2,8,AFF2FF041FF-------------------,,446.7319,446.5586,-0.975835,-17.79798,8662.402,8654.263,2471.2,2353.165,1249.7,98.627,1647,1480,4.04,3.88,3.88,3.4,207,0.1,3,88.99,-0.1859735,-0.3634467,511.6941,26.35825,349.5684,429.71,8536.2,,103.12,,,,,3432182
2/15/2023,10:13:49,MP_010,2,8,AFF2FF041FF-------------------,,449.6938,449.62,-0.7331436,-18.74367,6987.325,6976.927,2027.369,2077.354,1249.76,99.641,1433,1330,1.05,0.94,1.1,0.48,166,0.1,3,88.78,0.07863954,-0.467189,-168.3249,28.10204,692.4465,431.59,7026.9,,113.98,,,,,3512812
2/15/2023,13:53:59,MP_010,2,8,AFF2FF041FF-------------------,,445.9965,446.0761,-1.046576,-34.25808,7456.877,7448.708,2565.187,3484.911,1249.68,99.802,1611,1462,5.09,4.88,3.97,2.42,1637.3,0.7,3,84.03,1.448829,0.2959446,4895.607,51.28165,396.3654,412.89,8368.4,,109.57,,,,,3526022
2/15/2023,16:51:13,MP_010,2,8,AFF2FF041FF-------------------,,451.2291,451.3526,-0.8215044,-14.58896,7218.488,7216.352,2004.223,2031.88,1249.74,100.052,1431,1329,1.71,1.66,1.88,1.86,127.9,0.4,3,89.14,0.04352056,-0.3628782,-119.9316,21.48806,717.4235,437.59,7244,,106.67,,,,,3536656
2/16/2023,12:22:35,MP_010,2,8,AFF2FF041FF-------------------,,445.2926,445.4081,-0.9999946,-16.82278,7530.249,7541.182,2992.928,3059.505,1249.75,100.668,1512,1389,4.93,4.8,4.76,3.7,1384.2,0.3,3,85.22,0.1048027,0.9405254,111.4299,24.67317,83.79955,429.6,7607.8,,102.47,,,,,3606938
2/16/2023,16:11:43,MP_010,2,8,AFF2FF041FF-------------------,,447.0689,447.091,-0.9991647,-14.00789,7804.891,7807.868,2294.237,2388.591,1249.7,100.684,1418,1323,4.34,4.1,4.13,2.77,1128.7,0.3,3,86.99,0.148566,0.2332314,636.9895,20.25677,384.3323,434.09,7902.2,,97.27,,,,,3620686
