"","date","time","code","object","area","status","comment","co2abs","co2buf","dco2zp","dco2mp","h2oabs","h2obuf","dh2ozp","dh2omp","flow","pamb","aux1","aux2","tcuv","tleaf","tamb","tmin.max","partop","paramb","inside.fan","rh","e","vpd","gh2o","a","ci","ca","wa","parweatherstation","weight","wetness..lgr.s.n..21432090..sen.s.n..21367120....weather.station","temperature..lgr.s.n..21432090..sen.s.n..21420856....weather.station","relative.humidity..lgr.s.n..21432090..sen.s.n..21420856....weather.station","wind.speed..lgr.s.n..21432090..sen.s.n..21435605....weather.station","cumulative.seconds","wetnessWS","tempWS","windspeedWS","rhWS","cumulativeSeconds","species","aCorrected","dryWeight","basketWeight","saturatedWeight","sampleWeight","waterContent","waterContentmm","relativeWC"
"31","2/8/2023","12:53:17","MP_010","4",6.9291,"AFF2FF041FF-------------------",NA,447.4203,447.5286,-0.6532826,-0.3138639,9363.448,9363.622,1820.618,1230.188,1249.76,99.768,"1554","1417",4.07,3.88,3.93,3.13,441.7,0.2,"3",87.84,-0.9305325,-0.6981777,1332.802,-0.1134741,448.4985,447.88,8773.2,696.2,7.16,"100","2.274","98.659","8.56","2916596",100,2.274,8.56,98.659,2916596,"andreaea",-0.131011646534182,1.076,5.619,5.687,1.541,43.2156133828997,0.671082824609257,0.270968876384737
"32","2/9/2023","13:43:09","MP_010","4",6.9291,"AFF2FF041FF-------------------",NA,445.7265,445.6754,-0.8954562,-1.95089,10176.5,10181.79,2035.947,2090.325,1249.88,98.496,"1708","1527",12.51,12.31,6.44,11.42,841.8,0,"3",85.72,0.0858,4.341571,19.77068,1.610792,314.9216,444.59,10236.2,1586.2,9.09,"8.82","6.301","89.042","3.02","3005988",8.82,6.301,3.02,89.042,3005988,"andreaea",1.85974166919225,1.076,5.619,5.687,3.471,222.583643122677,3.4564373439552,0.610339370494109
"33","2/9/2023","17:36:42","MP_010","4",6.9291,"AFF2FF041FF-------------------",NA,445.5786,445.5765,-1.016435,-0.9494831,10140.98,10135.17,2388.817,2237.15,1249.67,98.614,"1784","1576",6.02,5.93,5.89,4.6,587.4,0.2,"3",91.81,-0.2393069,-0.5553219,430.9337,0.002067798,446.0497,445.67,9983.5,938.7,7.91,"11.76","5.882","86.595","4.03","3020001",11.76,5.882,4.03,86.595,3020001,"andreaea",0.00238737844741741,1.076,5.619,5.687,2.291,112.918215613383,1.75347447720483,0.402848602074908
"34","2/13/2023","17:02:59","MP_010","4",6.9291,"AFF2FF041FF-------------------",NA,445.0932,445.1106,-0.8313467,-2.058614,9569.762,9557.068,2182.251,2693.405,1249.68,98.528,"1788","1579",5.29,5.07,5.42,4.62,471.5,0.2,"3",88.13,0.8065927,-1.189405,-678.1483,1.559076,448.2971,443.88,10068.2,NA,9.43,NA,NA,NA,NA,"3363578",NA,NA,NA,NA,3363578,"andreaea",1.80003290470624,1.076,5.619,5.687,3.811,254.182156133829,3.94712155979853,0.67012484614032
"35","2/14/2023","12:04:23","MP_010","4",6.9291,"AFF2FF041FF-------------------",NA,446.4941,446.5612,-0.975835,-1.870103,8731.495,8720.076,2471.2,2505.519,1249.68,98.618,"1686","1508",4.15,3.97,4.15,3.53,329.6,0.2,"3",88.6,0.05408223,-0.5303336,-101.9778,1.372835,467.0594,445.68,8754.4,NA,8.68,NA,NA,NA,NA,"3432062",NA,NA,NA,NA,3432062,"andreaea",1.58500815401712,1.076,5.619,5.687,3.061,184.479553903346,2.86472990720296,0.538245120450149
"36","2/15/2023","9:55:04","MP_010","4",6.9291,"AFF2FF041FF-------------------",NA,451.8919,451.9502,-0.7331436,-1.507298,6921.566,6909.287,2027.369,2090.619,1249.73,99.612,"1343","1263",1.46,1.33,1.18,0.57,258.7,0.2,"3",87.74,0.0995014,-0.2217835,-448.6419,1.164462,455.3918,451.19,6972.5,NA,10.71,NA,NA,NA,NA,"3510703",NA,NA,NA,NA,3510703,"andreaea",1.34443087846907,1.076,5.619,5.687,5.091,373.141263940521,5.79440331356165,0.895199577984878
"37","2/15/2023","14:11:16","MP_010","4",6.9291,"AFF2FF041FF-------------------",NA,444.2375,444.2498,-1.046576,-2.119032,7463.729,7458.335,2565.187,3215.855,1249.76,99.809,"1748","1555",4.15,4.08,4.1,2.28,1104.9,0.4,"3",84.21,1.024779,0.08518033,12030.7,1.221245,442.9404,443.16,8109,NA,9.57,NA,NA,NA,NA,"3526075",NA,NA,NA,NA,3526075,"andreaea",1.40998975335902,1.076,5.619,5.687,3.951,267.193308550186,4.14916800161637,0.694742394935819
"38","2/15/2023","17:05:30","MP_010","4",6.9291,"AFF2FF041FF-------------------",NA,449.635,449.7079,-0.8215044,-1.070889,7173.517,7177.358,2004.223,1948.818,1249.8,100.074,"1489","1371",1.39,1.2,1.12,0.72,96.5,0.2,"3",88.49,-0.08717727,-0.4675174,186.4685,0.4287851,446.2022,449.46,7122,NA,8.73,NA,NA,NA,NA,"3536529",NA,NA,NA,NA,3536529,"andreaea",0.495054307197183,1.076,5.619,5.687,3.111,189.126394052045,2.93688935070933,0.547037102162828
"39","2/16/2023","13:03:51","MP_010","4",6.9291,"AFF2FF041FF-------------------",NA,445.256,445.3764,-0.9999946,-0.9090484,7740.478,7731.087,2992.928,2864.801,1249.71,100.689,"1544","1415",4.68,4.87,4.75,3.11,1438.7,0.3,"3",84.16,-0.2016846,0.9856035,-204.6306,-0.05221916,444.4215,445.5,7603,NA,7.76,NA,NA,NA,NA,"3608430",NA,NA,NA,NA,3608430,"andreaea",-0.0602896884155229,1.076,5.619,5.687,2.141,98.9776951672862,1.53699614668572,0.376472656936874
"40","2/16/2023","16:22:16","MP_010","4",6.9291,"AFF2FF041FF-------------------",NA,447.9848,447.6044,-0.9991647,-1.016467,7858.446,7853.232,2294.237,2551.289,1249.64,100.671,"1427","1329",4.45,4.71,4.47,2.98,877.1,0.3,"3",84.78,0.4048124,0.3808991,1062.781,-0.1541346,447.4799,447.52,8110.3,NA,7.35,NA,NA,NA,NA,"3620335",NA,NA,NA,NA,3620335,"andreaea",-0.177956271377235,1.076,5.619,5.687,1.731,60.8736059479554,0.945288709933469,0.304378406892914
